                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6099,                 5.2109,                 1.2772,                0.06883,                0.52083,                0.11337,                0.06281,                 1.4005,                 28.949,                  1.375,             0.00065608,             0.00065608,             0.00065608
                      2,                 1.5263,                   1.35,                 1.3478,                0.77082,                0.78274,                 0.8257,                 0.4612,                 1.5402,                  2.675,                 1.6739,              0.0011918,              0.0011918,              0.0011918
                      3,                 1.4858,                 1.1791,                 1.2922,                0.89387,                0.77704,                0.87122,                0.46226,                 1.4344,                 3.9856,                 1.2999,              0.0015955,              0.0015955,              0.0015955
                      4,                   1.44,                0.96481,                  1.242,                0.73433,                0.72392,                0.78275,                 0.4395,                 1.5538,                 1.3368,                 1.3195,               0.001406,               0.001406,               0.001406
                      5,                 1.4298,                0.91047,                 1.2645,                0.90001,                0.92857,                0.94707,                0.54653,                 1.3553,                 1.0382,                 1.2648,               0.001208,               0.001208,               0.001208
                      6,                 1.3294,                0.82492,                 1.1982,                0.96353,                0.91667,                0.97857,                 0.5731,                 1.4893,                 1.1132,                 1.3588,                0.00101,                0.00101,                0.00101
                      7,                 1.3062,                0.76832,                 1.1711,                0.96941,                0.94321,                0.98195,                 0.5919,                 1.3376,                0.73553,                  1.221,               0.000812,               0.000812,               0.000812
                      8,                 1.2713,                0.70749,                 1.1381,                0.95139,                0.95833,                0.98987,                0.64843,                 1.2195,                 0.6627,                  1.143,               0.000614,               0.000614,               0.000614
                      9,                 1.2303,                0.69802,                 1.1285,                 0.9727,                0.95433,                0.98484,                0.63429,                 1.1663,                0.67662,                 1.1231,               0.000416,               0.000416,               0.000416
                     10,                 1.2205,                0.63227,                 1.1071,                0.96429,                0.96444,                0.98958,                0.66594,                 1.1563,                 0.5976,                  1.103,               0.000218,               0.000218,               0.000218
